"","mem","trans","desc","date_diff","date_var","amt","cat","discret","sub","pred"
"1000524411246510.16","1000524411246510","100052442006613751","pospurchaseposwalgreenswilmingtonde","2.43",NA,1.4,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.1","1000564012245885","100056405756547036","littlecaesarsleingtonky","3",16.33,0.18,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.2","1000564012245885","100056405756547025","shelloilleingtonky","0.62",1.46,5.89,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.3","1000564012245885","100056405756547026","shellservicesleingtonky","1.37",2.04,2.2,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.4","1000564012245885","100056405763804995","amazonmktplaceamzncombillwa","1.06",1.5,14.81,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.5","1000564012245885","100056405763804992","eperiancrca","4.43",0.04,0,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.6","1000564012245885","100056405769484212","timewarnerswohonlinepmtpos","4.47",0.59,0.17,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564012245885.7","1000564012245885","100056405776913094","amazonserviceswa","1.43",1.84,1.1,"Online Services",TRUE,FALSE,"Invalid"
"1000564012245885.8","1000564012245885","100056405795043415","cvsbeavercreekoh","1.98",1.86,15.24,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.9","1000564012245885","100056405817851704","aafeswrightpatteroh","1.09",1.01,45.81,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.10","1000564012245885","100056405817851707","vzwirelessvevzwwebpay","4.34",0.29,0.99,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012245885.11","1000564012245885","100056405825111874","wendysleingtonky","2.54",9,4.14,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.12","1000564012245885","100056405830316207","aafesarmyachpymt","5.14",8.61,200.03,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.13","1000564012245885","100056405836220796","bestbuypayment","4.38",0.51,95.59,"Electronics",TRUE,FALSE,"Invalid"
"1000564012245885.14","1000564012245885","100056405856853566","giantfairbornoh","1.18",0.21,3.67,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564012245885.15","1000564012245885","100056405856853564","lowesfairbornoh","1.94",1.6,36.64,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.16","1000564012245885","100056405859243695","tmobilehandsetwa","13.01",NA,0,"Telephone Services",FALSE,FALSE,"Valid"
"1000564012245885.17","1000564012245885","100056405896008202","directvpayment","4.5",0.26,1.3,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564012245885.18","1000564012245885","100056405927408375","victoriassecretonlinepmtpos","13.29",NA,5.94,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.19","1000564012245885","100056405953468466","kohlsonlinepmtpos","3",NA,28.65,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.20","1000564012245885","100056405747493035","usaaloanpmtto","4.36",0.12,0,"Loans",FALSE,FALSE,"Valid"
"1000564012245885.21","1000564012245885","100056405756547028","papajohnsky","4.36",3.67,4.12,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.22","1000564012245885","100056405756547027","speedwayleleingtonky","0.95",1.19,7.78,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.23","1000564012245885","100056405747493034","usaapcautopay","4.36",0.12,0.25,"Insurance",FALSE,FALSE,"Invalid"
"1000564012245885.24","1000564012245885","100056405763804999","chaseepay","5.62",8.35,0.02,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.25","1000564012245885","100056405763804998","wrightpattersonwrightpatteroh","1.69",0.51,21.49,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.26","1000564012245885","100056405769484207","wrightpatsycamorwrightpatteroh","1.32",1.03,60.11,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.27","1000564012245885","100056405771553133","","11.01",NA,16.24,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564012245885.28","1000564012245885","100056405769484211","healthnetfedca","5.86",1.5,32.14,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.29","1000564012245885","100056405769484202","papajohnsoh","3.64",3.17,1.69,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.30","1000564012245885","100056405788551553","giantdaytonoh","1.41",1.99,1.65,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.31","1000564012245885","100056405795043411","wriafartscrwpafboh","2.86",NA,7.43,"Hobbies",TRUE,FALSE,"Invalid"
"1000564012245885.32","1000564012245885","100056405795043423","check","0.55",0.28,932.95,"Checks",FALSE,FALSE,"Invalid"
"1000564012245885.33","1000564012245885","100056405810390222","payroll","1.46",0.87,117.27,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012245885.34","1000564012245885","100056405804517142","usaafundstransfercr","0.95",0.48,237.62,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.35","1000564012245885","100056405802135760","usaafundstransferdb","0.77",0.46,2373.57,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.36","1000564012245885","100056405811118626","krogerfairbornoh","2.8",4.55,53.13,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.37","1000564012245885","100056405825111889","lglefayurbgovky","7",18.04,5.48,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.38","1000564012245885","100056405825111892","kentuckyutilitiwebpymts","3.57",0.75,15.55,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.39","1000564012245885","100056405825111872","tobaccohutleingtonky","0.92",0.7,0.47,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.40","1000564012245885","100056405817851705","bobevansrestfairbornoh","1.5",0.5,5.49,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.41","1000564012245885","100056405825111873","marathonpetrofairbornoh","0",NA,3.28,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.42","1000564012245885","100056405817851703","speedwayfairbornoh","2.5",0.26,7.24,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.43","1000564012245885","100056405825111890","wscwindstreamar","3.5",1,0.21,"Telephone Services",FALSE,FALSE,"Invalid"
"1000564012245885.44","1000564012245885","100056405830316206","ohioedisonfeecheck","4.72",1.01,21.63,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.45","1000564012245885","100056405836220789","areaabldgwpafboh","1.02",0.87,32.57,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.46","1000564012245885","100056405839052389","atmsurchargerebatesr","3.25",1.53,3,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564012245885.47","1000564012245885","100056405839052390","interestpaidgt","2.12",0.21,0.03,"Interest",FALSE,FALSE,"Invalid"
"1000564012245885.48","1000564012245885","100056405859243692","krogerleingtonky","3.64",6.97,438.98,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.49","1000564012245885","100056405802135756","dfasclevelandfedsalary","0.93",1.04,12.18,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012245885.50","1000564012245885","100056405878465208","teasroadhousefairbornoh","5.72",2.63,0.3,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.51","1000564012245885","100056405890954190","elderbeermanbeavercreekoh","1.43",NA,21.94,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.52","1000564012245885","100056405890954186","elderbeefairfiebeavercreekoh","0",NA,41.11,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.53","1000564012245885","100056405896007741","dfasclevelandretnet","4.34",0.05,0.57,"Retirement Income",FALSE,FALSE,"Invalid"
"1000564012245885.54","1000564012245885","100056405896007749","usdeptofedonlinepmtpos","4.38",0.43,0,"Deposits",FALSE,FALSE,"Invalid"
"1000564012245885.55","1000564012245885","100056405913925592","buckeyediscounbeavercreekoh","1.64",0.61,9.64,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.56","1000564012245885","100056405913719436","patchenpubleingtonky","3.86",NA,2.78,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.57","1000564012245885","100056405918629522","wpafbbaserestwpafboh","1.72",0.54,0.51,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.58","1000564012245885","100056405927408371","ruralkingeniaoh","1.14",NA,62.83,"Home Maintenance",TRUE,FALSE,"Invalid"
"1000564012245885.59","1000564012245885","100056405927408378","barclaycarduscreditcard","5",23.55,807.67,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.60","1000564012245885","100056405972493225","sirpizzarichmleingtonky","4.22",26.58,0.38,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.61","1000564012245885","100056405966589961","usaacompaymntcreditcrd","3.95",11.29,35.29,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.62","1000564012245885","100056406010273091","cnsriteaidcoarlingtonva","0.14",NA,0.06,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564012245885.63","1000564012245885","100056406034096933","capitaloneonlinepmt","3.05",7.3,0,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012245885.64","1000564012245885","100056406035550960","speedwayleingtonky","1.43",NA,0.41,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564012245885.65","1000564012245885","100056406035550964","walmartleingtonky","1.04",3.92,7.46,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.66","1000564012245885","100056406043671520","orccservicefenj","7.86",NA,0,"Uncategorized",FALSE,FALSE,"Valid"
"1000564012245885.67","1000564012245885","100056406043671524","americanwaterva","7.86",NA,0.87,"Utilities",FALSE,FALSE,"Invalid"
"1000564012245885.68","1000564012245885","100056406077094486","redbodvdrenil","4.57",NA,0.03,"Entertainment",TRUE,FALSE,"Invalid"
"1000564012245885.69","1000564012245885","100056406092481976","panerabreadbeavercreekoh","8.14",NA,0.14,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.70","1000564012245885","100056406110489498","bobevansrestbeavercreekoh","0",NA,1.48,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.71","1000564012245885","100056406110489951","redrobinnobeavercreekoh","7",NA,3.59,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.72","1000564012245885","100056406144063897","targettbeavercreekoh","1.21",0.09,2.19,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.73","1000564012245885","100056406157298165","progdirectinsinspremimot","4",NA,0,"Insurance",FALSE,FALSE,"Valid"
"1000564012245885.74","1000564012245885","100056406164986528","usbankusbanleingtonky","1.79",2.95,11.88,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.75","1000564012245885","100056406184878236","qdobameicangleingtonky","2",8,18.82,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.76","1000564012245885","100056406184878244","sonicdriveinleingtonky","0",NA,1.26,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564012245885.77","1000564012245885","100056406187847226","paypalfoamnca","0",NA,6.29,"Other Expenses",TRUE,FALSE,"Invalid"
"1000564012245885.78","1000564012245885","100056406254456456","kmartspringborooh","2",NA,77.26,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564012245885.79","1000564012245885","100056406254456452","krogerspringborooh","2.29",NA,2.66,"Groceries",TRUE,FALSE,"Invalid"
"1000564012245885.80","1000564012245885","100056406271788303","realiantpropertach","3.86",NA,2,"Transfers",FALSE,FALSE,"Invalid"
"1000564012245885.81","1000564012245885","100056406318082848","franklinbpfranklinoh","0.54",0.41,3.5,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.82","1000564012245885","100056406318083253","aroadbuildingwpafboh","0.57",NA,22.38,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.83","1000564012245885","100056406318083256","themenswearhobeavercreekoh","0.36",0.09,764.08,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564012245885.84","1000564012245885","100056406332704734","lowesmiddletownoh","0.79",1.23,34.95,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.85","1000564012245885","100056406354432642","hunterigaeprfranklinoh","0",NA,0.61,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012245885.86","1000564012245885","100056406368021274","menardsmiamimiamisburgoh","0",0,331.88,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564012245885.87","1000564012245885","100056406435404253","sunrisealachuafl","0",NA,5.79,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564012603379.1","1000564012603379","100056405813678006","southerncalgasonlinepmtpos","4.29",0,0.42,"Utilities",FALSE,FALSE,"Invalid"
"1000564012603379.2","1000564012603379","100056405746185121","usaafundstransfercr","2.95",2.38,49883.74,"Transfers",FALSE,FALSE,"Invalid"
"1000564012603379.3","1000564012603379","100056405750098275","usaafundstransferdb","2.95",2.38,49883.74,"Transfers",FALSE,FALSE,"Invalid"
"1000564012603379.4","1000564012603379","100056405746185123","usaacompaymntcreditcrd","0.4",0.16,1677.88,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.5","1000564012603379","100056405764458807","","1.95",1.2,382.53,"Deposits",FALSE,FALSE,"Invalid"
"1000564012603379.6","1000564012603379","100056405770174931","payroll","1.98",0,0,"Paychecks/Salary",FALSE,FALSE,"Valid"
"1000564012603379.7","1000564012603379","100056405798839473","check","1.52",1.77,104.54,"Checks",FALSE,FALSE,"Invalid"
"1000564012603379.8","1000564012603379","100056405813678005","aliciapkwylagunahillsca","1.57",NA,0,"Uncategorized",FALSE,FALSE,"Valid"
"1000564012603379.9","1000564012603379","100056405878314349","scaedisononlinepmtpos","4.29",0.04,14.12,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.10","1000564012603379","100056405889521881","sunwestmortgagmortgage","8.15",NA,0,"Mortgages",FALSE,FALSE,"Valid"
"1000564012603379.11","1000564012603379","100056405899842327","moultonniguelonlinepmtpos","5.15",NA,9.46,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564012603379.12","1000564012603379","100056405800819605","interestpaidgt","2.23",0.55,9.63,"Interest",FALSE,FALSE,"Invalid"
"1000564012603379.13","1000564012603379","100056405800819604","atmsurchargerebatesr","4.14",NA,1,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564014717730.1","1000564014717730","100056405831653093","atmsurchargerebatesr","2.81",5.93,3.38,"ATM/Cash Withdrawals",TRUE,FALSE,"Invalid"
"1000564014717730.2","1000564014717730","100056405752467062","usaapcautopay","4.43",0.17,0.61,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564014717730.3","1000564014717730","100056405766080303","supersudstallahasseefl","3.24",23.9,0.16,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000564014717730.4","1000564014717730","100056405968730103","comcastoftallcomcastfl","5.15",NA,25.26,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000564014717730.5","1000564014717730","100056405766080306","check","1.32",0.99,582.04,"Checks",FALSE,FALSE,"Invalid"
"1000564014717730.6","1000564014717730","100056406082301025","epresslanetallahasseefl","0.14",NA,8.53,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000564014717730.7","1000564014717730","100056405831653092","usaacompaymntcreditcrd","1.57",1.27,103.75,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000564014717730.8","1000564014717730","100056405831653086","depteducationstudentln","4.43",0.17,0,"Deposits",FALSE,FALSE,"Invalid"
"1000564014717730.9","1000564014717730","100056405913474269","riversidetechnodirectdephj","2",0,605.85,"Deposits",FALSE,FALSE,"Invalid"
"1000564014717730.10","1000564014717730","100056405869760413","netflicomnetflicomca","4.36",0.01,0,"Entertainment",TRUE,TRUE,"Valid"
"1000564014717730.11","1000564014717730","100056405752467052","costcogastallahasseefl","2.86",5.76,6.53,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564014717730.12","1000564014717730","100056405770917820","sunocotallahasseefl","1.6",2.49,6.54,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000564014717730.13","1000564014717730","100056405927432672","costcowhsetallahasseefl","1.64",7.1,25.61,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.14","1000564014717730","100056405758840233","amazoncomamzncombillwa","1.61",4.45,7.68,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.15","1000564014717730","100056405752466642","targetttallahasseefl","3.43",16.17,35.44,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.16","1000564014717730","100056405859583248","wmsupercwalmartsuptallahasseefl","6.01",NA,52.85,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.17","1000564014717730","100056405927432660","bassproshopstallahasseefl","5.01",NA,24.26,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.18","1000564014717730","100056405948797584","amazonmktplaceamzncombillwa","3",0.17,23.28,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.19","1000564014717730","100056405927432669","bjsepresstallahasseefl","6.01",NA,0.03,"General Merchandise",TRUE,FALSE,"Invalid"
"1000564014717730.20","1000564014717730","100056405766080305","publisupermatallahasseefl","0.63",0.35,20.77,"Groceries",TRUE,FALSE,"Invalid"
"1000564014717730.21","1000564014717730","100056405821677953","larrysgiantsutallahasseefl","5",21.63,0,"Groceries",TRUE,FALSE,"Invalid"
"1000564014717730.22","1000564014717730","100056405847366048","laketalquinliquorstallahasseefl","2.86",8.13,1.58,"Groceries",TRUE,FALSE,"Invalid"
"1000564014717730.23","1000564014717730","100056405777059532","walgreenstallahasseefl","1.94",2.05,22.5,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564014717730.24","1000564014717730","100056406042234509","goldsgymfl","0.14",NA,19.36,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564014717730.25","1000564014717730","100056406093446083","cvstallahasseefl","1.71",NA,4.9,"Healthcare/Medical",TRUE,FALSE,"Invalid"
"1000564014717730.26","1000564014717730","100056405752466643","seminolegolfctallahasseefl","1.55",1.97,0.7,"Hobbies",TRUE,FALSE,"Invalid"
"1000564014717730.27","1000564014717730","100056405790183135","cancunsportsbtallahasseefl","0.29",NA,0.04,"Hobbies",TRUE,FALSE,"Invalid"
"1000564014717730.28","1000564014717730","100056405869760402","atlantabotanicatlantaga","4.71",NA,5.46,"Home Improvement",TRUE,FALSE,"Invalid"
"1000564014717730.29","1000564014717730","100056405831653094","interestpaidgt","2.09",0.02,0.37,"Interest",FALSE,FALSE,"Invalid"
"1000564014717730.30","1000564014717730","100056405873654724","littlepassportca","4.57",NA,0,"Other Expenses",TRUE,FALSE,"Invalid"
"1000564014717730.31","1000564014717730","100056405810829998","twodevilstallahasseefl","1.43",0.68,14.81,"Travel",TRUE,FALSE,"Invalid"
"1000564014717730.32","1000564014717730","100056405821677396","doitreasfedsal","0.91",1.17,488.16,"Other Income",FALSE,FALSE,"Valid"
"1000564014717730.33","1000564014717730","100056405770917819","panerabreadtallahasseefl","0",NA,5.96,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.34","1000564014717730","100056405821677398","zabystallahasseefl","4.29",NA,0.02,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.35","1000564014717730","100056405752466646","laredogrillquincyfl","8.29",NA,1.01,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.36","1000564014717730","100056405770917821","chickfilatallahasseefl","2.32",1.95,1.24,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.37","1000564014717730","100056405821677954","tijuanaflatsbtallahasseefl","3.72",6.88,1.62,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.38","1000564014717730","100056405869760403","valhallagrilllynnhavenfl","4",NA,0.53,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.39","1000564014717730","100056405919848742","brooklynpizzatallahasseefl","0.86",NA,0.61,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.40","1000564014717730","100056406109300029","tallythaisutallahasseefl","0.29",0.16,0.02,"Restaurants/Dining",TRUE,FALSE,"Invalid"
"1000564014717730.41","1000564014717730","100056405869760415","leoncotacoltallahasseefl","6.01",NA,22.66,"Taxes",FALSE,FALSE,"Invalid"
"1000564014717730.42","1000564014717730","100056405954347540","vzwirelessvevzwwebpay","4.01",NA,0.02,"Telephone Services",FALSE,FALSE,"Valid"
"1000564014717730.43","1000564014717730","100056405758840228","usaafundstransfercr","2.47",2.89,2248.65,"Transfers",FALSE,FALSE,"Invalid"
"1000564014717730.44","1000564014717730","100056405752467057","usaafundstransferdb","1.64",1.81,2079.3,"Transfers",FALSE,FALSE,"Invalid"
"1000564014717730.45","1000564014717730","100056405752467061","bkofamcrdachpaybyphone","4.43",0.04,17.12,"Transfers",FALSE,FALSE,"Invalid"
"1000564014717730.46","1000564014717730","100056405793505641","riversidetechachjm","8.86",NA,3141.56,"Transfers",FALSE,FALSE,"Invalid"
"1000564014717730.47","1000564014717730","100056405770917827","blounstowtallahasseefl","1.2",0.98,1.61,"Travel",TRUE,FALSE,"Invalid"
"1000564014717730.48","1000564014717730","100056405777059533","winndiiwtharptallahasseefl","10.86",NA,2.16,"Travel",TRUE,FALSE,"Invalid"
"1000564014717730.49","1000564014717730","100056405788689455","sqthemannstallahasseefl","5.14",NA,0.42,"Travel",TRUE,FALSE,"Invalid"
"1000564014717730.50","1000564014717730","100056406082301018","momosnoinctallahasseefl","2.14",NA,2.19,"Travel",TRUE,FALSE,"Invalid"
"1000564014717730.51","1000564014717730","100056405752466639","dollargehwyfortbradenfl","2.62",2.9,4.86,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564014717730.52","1000564014717730","100056405788689497","whippoorwillspquincyfl","2.67",2.32,10.23,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564014717730.53","1000564014717730","100056405788689487","crowscornerhosfordfl","5",9.16,8.04,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564014717730.54","1000564014717730","100056405836415744","atlantafedcenatlantaga","0.29",NA,0.05,"Uncategorized",FALSE,FALSE,"Valid"
"1000564014717730.55","1000564014717730","100056405859583228","riostationriograndenj","0",NA,4.8,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564014717730.56","1000564014717730","100056405948797582","swljca","6.01",NA,0.13,"Uncategorized",FALSE,FALSE,"Invalid"
"1000564014717730.57","1000564014717730","100056405990450527","darecountyabcnagsheadnc","0.43",NA,0,"Uncategorized",FALSE,FALSE,"Valid"
"1000616411507718.1","1000616411507718","100061644178887586","debitpinpurchaseoreillyautopartsvallejoca","0",NA,0.27,"Automotive Expenses",FALSE,FALSE,"Invalid"
"1000616411507718.2","1000616411507718","100061644037991226","achelectronicdebitcomcastcomcast","4.29",1.03,0.2,"Cable/Satellite Services",FALSE,FALSE,"Invalid"
"1000616411507718.3","1000616411507718","100061643954768375","check","0.57",0.17,537.71,"Checks",FALSE,FALSE,"Invalid"
"1000616411507718.4","1000616411507718","100061643968619713","achelectronicdebitkohlsdeptstrschgpymt","4.36",0.09,47.5,"Clothing/Shoes",TRUE,FALSE,"Invalid"
"1000616411507718.5","1000616411507718","100061643968619701","achelectroniccreditsquareincn","0.35",0.05,25.92,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000616411507718.6","1000616411507718","100061643968619721","achelectronicdebitciticardonlinepayment","1.3",2.1,44.18,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000616411507718.7","1000616411507718","100061644136639854","achelectronicdebitchaseepay","1.15",NA,136.11,"Credit Card Payments",FALSE,FALSE,"Invalid"
"1000616411507718.8","1000616411507718","100061643954768366","deposit","0.17",0.13,64.28,"Deposits",FALSE,FALSE,"Invalid"
"1000616411507718.9","1000616411507718","100061643964012816","payroll","2.02",0,5.13,"Deposits",FALSE,FALSE,"Invalid"
"1000616411507718.10","1000616411507718","100061643954768369","achelectronicdebitbestbuypayment","4.14",1.87,1.41,"Electronics",TRUE,FALSE,"Invalid"
"1000616411507718.11","1000616411507718","100061643960630133","debitcardpurchaseaplitunescombillca","0.99",0.34,2,"Entertainment",TRUE,FALSE,"Invalid"
"1000616411507718.12","1000616411507718","100061643983124022","debitcardpurchasechevronvallejoca","1.81",2.25,6.1,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000616411507718.13","1000616411507718","100061644118776358","debitpinpurchasearcopaypointtracyca","5.01",NA,23.85,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000616411507718.14","1000616411507718","100061644118776350","debitpinpurchaseshellservicestationmercedca","0",NA,16.35,"Gasoline/Fuel",TRUE,FALSE,"Invalid"
"1000616411507718.15","1000616411507718","100061643974891046","debitpinpurchasewalmartsupercentervallejoca","1.07",0.89,31.7,"General Merchandise",TRUE,FALSE,"Invalid"
"1000616411507718.16","1000616411507718","100061644063137616","debitpinpurchasewmsupercenterwalmavallejoca","4.29",NA,24.95,"General Merchandise",TRUE,FALSE,"Invalid"
"1000616411507718.17","1000616411507718","100061644028580464","debitpinpurchasecsinapaca","3.86",NA,0,"General Merchandise",TRUE,FALSE,"Invalid"
